Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45047384,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,"Klune, T.J.",,"=""""","=""""",2,4.40,Tor Books,Kindle Edition,394,2020,2020,2024/06/27,2024/06/21,,,read,,,,1,0
60531416,Yumi and the Nightmare Painter,Brandon Sanderson,"Sanderson, Brandon",Aliya Chen,"=""1938570375""","=""9781938570377""",5,4.48,Dragonsteel Entertainment,Hardcover,480,2023,2023,2024/06/20,2024/05/06,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.42,Ballantine Books,Hardcover,384,2014,2011,2024/05/04,2020/01/09,,,read,,,,1,0
818018,"Ángeles y demonios (Robert Langdon, #1)",Dan       Brown,"Brown, Dan",Eduardo G. Murillo,"=""8495618710""","=""9788495618719""",1,3.94,Umbriel,Paperback,610,2004,2000,2024/04/26,2024/04/04,,,read,,,,1,0
222947,"La comunidad del anillo (El señor de los anillos, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",Luis Domènech,"=""8445071408""","=""9788445071403""",4,4.39,Minotauro,Paperback,560,1991,1954,2024/04/04,2024/03/21,,,read,,,,1,0
227221,El Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""9505470630""","=""9789505470631""",4,4.29,Distal S R L,Paperback,310,2001,1937,2024/03/21,2024/03/16,,,read,,,,1,0
22060147,El conde de Montecristo,Alexandre Dumas,"Dumas, Alexandre",,"=""""","=""""",0,4.30,Editorial Hansben,Kindle Edition,1332,2012,1844,,2021/11/16,to-read,to-read (#46),to-read,,,,0,0
63079845,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,"Goggins, David",,"=""154453406X""","=""9781544534060""",0,4.44,Lioncrest Publishing,Kindle Edition,312,2022,2022,,2023/12/10,to-read,to-read (#45),to-read,,,,0,0
58862183,El quinto sol. Una historia diferente de los aztecas,Camilla Townsend,"Townsend, Camilla",Mario Zamudio Vega,"=""6079909928""","=""9786079909925""",0,4.10,Grano de Sal - Universidad Veracruzana,Paperback,365,2021,2019,,2024/03/15,currently-reading,currently-reading (#1),currently-reading,,,,1,0
75509306,Trenza del mar esmeralda,Brandon Sanderson,"Sanderson, Brandon","Manu Viciano, Howard Lyon","=""8418037814""","=""9788418037818""",5,4.39,Nova CF,Hardcover,560,2023,2023,2024/03/15,2024/03/07,,,read,,,,1,0
54511226,"Dawnshard (The Stormlight Archive, #3.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""193857026X""","=""""",4,4.42,Dragonsteel Entertainment,Kindle Edition,171,2020,2020,2022/07/25,2022/07/20,,,read,,,,1,0
40604658,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,"=""0307763056""","=""9780307763051""",4,4.11,Ballantine Books,Kindle Edition,466,2012,1990,2021/02/26,2020/01/09,,,read,,,,1,0
22022744,"Yo antes de ti (Yo antes de ti, #1)",Jojo Moyes,"Moyes, Jojo",,"=""8483655934""","=""9788483655931""",5,4.26,Suma de letras,Paperback,496,2014,2012,2024/03/07,2024/03/07,,,read,,,,1,0
36696699,Cadáver exquisito,Agustina Bazterrica,"Bazterrica, Agustina",,"=""9870737943""","=""9789870737940""",2,3.79,Alfaguara,Paperback,249,2017,2017,2024/03/02,2024/01/23,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5,4.66,Tor Books,Hardcover,1007,2010,2010,2022/06/14,2022/05/31,,,read,,,,1,0
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,"=""0385534256""","=""9780385534253""",5,4.14,Doubleday,ebook,359,2017,2017,2023/11/28,2023/11/19,,,read,,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",5,4.12,William Morrow Paperbacks,Paperback,176,2006,2002,2023/11/18,2023/11/15,,,read,,,,1,0
13601768,El ritual,Adam L.G. Nevill,"Nevill, Adam L.G.",,"=""8445000160""","=""9788445000168""",4,3.59,Minotauro,Paperback,416,2012,2011,2023/11/15,2023/10/23,,,read,,,,1,0
59123,Señorita México,Enrique Serna,"Serna, Enrique",,"=""9703703747""","=""9789703703746""",3,3.75,Planeta Publishing,Paperback,180,2005,2000,2023/10/22,2023/10/11,,,read,,,,1,0
11588,"The Shining (The Shining, #1)",Stephen         King,"King, Stephen",,"=""0450040186""","=""9780450040184""",3,4.27,New English Library (Hodder & Stoughton) ,Paperback,497,1980,1977,2023/10/11,2020/01/08,,,read,,,,1,0
3284191,El viejo y el mar,Ernest Hemingway,"Hemingway, Ernest",,"=""9586140873""","=""9789586140874""",2,3.80,Planeta ,Paperback,147,1985,1952,2023/09/28,2023/09/25,,,read,"I didn't really liked the book, I don't think it's a bad book; it's just not for me. I've been reading some reviews and it may be a lack of experience on my behalf.",,,1,0
52061530,Los siete maridos de Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",Nora Escoms,"=""8416517274""","=""9788416517275""",5,4.41,Umbriel,Paperback,384,2020,2017,2023/09/26,2023/09/15,,,read,,,,1,0
6404106,La sociedad literaria y el pastel de piel de patata de Guernsey,Mary Ann Shaffer,"Shaffer, Mary Ann","Annie Barrows, Sandra Campos","=""849867395X""","=""9788498673951""",5,4.19,RBA Libros,Paperback,304,2009,2008,2023/09/22,2023/09/18,,,read,,,,1,0
7672,Congo,Michael Crichton,"Crichton, Michael",,"=""0060541830""","=""9780060541835""",0,3.63,Avon,Paperback,480,2003,1980,,2023/09/18,to-read,to-read (#44),to-read,,,,0,0
58065033,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",0,4.29,Doubleday Books,Hardcover,390,2022,2022,,2023/09/18,to-read,to-read (#43),to-read,,,,0,0
24237950,Las aventuras de Tom Sawyer,Mark Twain,"Twain, Mark",,"=""""","=""""",4,3.92,,Kindle Edition,200,2011,1876,2023/09/18,2023/09/14,,,read,,,,1,0
25213356,El murmullo de las abejas,Sofía Segovia,"Segovia, Sofía",,"=""6073126034""","=""""",0,4.23,Lumen,Kindle Edition,388,2015,2015,,2023/09/15,to-read,to-read (#42),to-read,,,,0,0
37822162,El chico que dibujaba constelaciones,Alice Kellen,"Kellen, Alice",,"=""""","=""""",0,4.34,,Hardcover,245,2018,2018,,2023/09/15,to-read,to-read (#41),to-read,,,,0,0
47668,Ensayo sobre la ceguera,José Saramago,"Saramago, José",,"=""9707311150""","=""9789707311152""",0,4.17,Punto de Lectura,Paperback,329,2006,1995,,2023/09/15,to-read,to-read (#40),to-read,,,,0,0
514150,El fantasma de Canterville,Oscar Wilde,"Wilde, Oscar",,"=""8497644581""","=""9788497644587""",3,3.79,Edimat Libros,Mass Market Paperback,184,2005,,,2023/09/15,,,read,,,,1,0
16097947,Las dos después de medianoche,Stephen         King,"King, Stephen",,"=""8499086306""","=""9788499086309""",5,3.81,Debolsillo,Paperback,528,2010,1990,2023/09/14,2023/09/12,,,read,,,,1,0
6320534,Under the Dome,Stephen         King,"King, Stephen",,"=""1439148503""","=""9781439148501""",0,3.92,Scribner,Hardcover,1074,2009,2009,,2023/09/13,to-read,to-read (#39),to-read,,,,0,0
17660,The Tommyknockers,Stephen         King,"King, Stephen",,"=""""","=""""",0,3.60,Signet,Mass Market Paperback,747,1993,1987,,2023/09/13,to-read,to-read (#38),to-read,,,,0,0
18775247,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen         King,"King, Stephen",,"=""1476754454""","=""9781476754451""",4,4.02,Scribner,Hardcover,437,2014,2014,2023/09/09,2023/07/04,,,read,,,,1,0
5000247,El informe pelícano,John Grisham,"Grisham, John",,"=""0307392503""","=""9780307392503""",0,4.05,Debolsillo,Paperback,360,2008,1992,,2023/07/21,to-read,to-read (#37),to-read,,,,0,0
1981412,Macario,B. Traven,"Traven, B.",,"=""9684030150""","=""9789684030152""",5,4.20,Selector S.A. De C.V.,Paperback,112,1997,1950,2023/07/04,2023/07/04,,,read,,,,1,0
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765391198""","=""9780765391193""",4,4.48,Tor Books,Hardcover,507,2022,2022,2023/06/25,2023/06/25,,,read,,,,1,0
57658,The Treasure of the Sierra Madre,B. Traven,"Traven, B.",Okay Gönensin,"=""0809001608""","=""9780809001606""",4,4.10,Hill and Wang,Paperback,308,1984,1935,2023/07/04,2023/06/25,,,read,,,,1,0
