Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8322565,"Sinsajo (Los juegos del hambre, #3)",Suzanne Collins,"Collins, Suzanne",Pilar Ramírez Tello,"=""8427200382""","=""9788427200388""",4,4.09,Molino,Paperback,422,2010,2010,2021/11/24,2021/11/21,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,4.03,Vintage International,Paperback,123,1989,1942,,2021/11/22,to-read,to-read (#31),to-read,,,,0,0
6267163,El fin de la infancia,Arthur C. Clarke,"Clarke, Arthur C.",,"=""8445070223""","=""9788445070222""",0,4.12,Ediciones Minotauro,Paperback,238,2000,1953,,2021/11/22,to-read,to-read (#30),to-read,,,,0,0
31360,"Children of the Mind (Ender's Saga, #4)",Orson Scott Card,"Card, Orson Scott",,"=""0765304740""","=""9780765304742""",0,3.78,Tor Books,Paperback,370,2002,1996,,2021/11/22,to-read,to-read (#29),to-read,,,,0,0
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",,"=""0312861877""","=""9780312861872""",0,3.81,Tor Books,Mass Market Paperback,592,1996,1991,,2021/11/22,to-read,to-read (#28),to-read,,,,0,0
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,"=""0812550757""","=""9780812550757""",0,4.10,Tor Books,Paperback,382,1994,1986,,2021/11/22,to-read,to-read (#27),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",0,4.31,Tor,Mass Market Paperback,324,2004,1985,,2021/11/22,to-read,to-read (#26),to-read,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.27,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2021/11/22,to-read,to-read (#25),to-read,,,,0,0
7776692,"En llamas (Los juegos del hambre, #2)",Suzanne Collins,"Collins, Suzanne",Pilar Ramírez Tello,"=""""","=""""",4,4.33,Molino,Paperback,407,2010,2009,2021/11/20,2021/11/16,,,read,,,,1,0
34523174,"Into the Drowning Deep (Rolling in the Deep, #1)",Mira Grant,"Grant, Mira",,"=""0316379409""","=""9780316379403""",0,3.96,Orbit,Hardcover,448,2017,2017,,2021/11/20,to-read,to-read (#24),to-read,,,,0,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal","=""0393970124""","=""9780393970128""",0,4.02,Norton,Paperback,488,1986,1897,,2021/11/19,to-read,to-read (#23),to-read,,,,0,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.88,Penguin,Paperback,368,1995,1955,,2021/11/19,to-read,to-read (#22),to-read,,,,0,0
6596839,"Los juegos del hambre (Los juegos del hambre, #1)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",3,4.34,Molino ,Paperback,396,2009,2008,2021/11/16,2021/11/15,,,read,,,,1,0
56268973,These Silent Woods,Kimi Cunningham Grant,"Grant, Kimi Cunningham",,"=""1250793394""","=""9781250793393""",0,4.06,Minotaur Books,Hardcover,288,2021,2021,,2021/11/16,to-read,to-read (#21),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.28,Ace,Hardcover,658,2019,1965,,2021/11/14,to-read,to-read (#20),to-read,,,,0,0
7935023,"El héroe de las eras (Nacidos de la bruma, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""8466643826""","=""9788466643825""",5,4.54,Ediciones B,Paperback,768,2010,2008,2021/11/14,2021/11/09,,,read,,,,1,0
500400,El amor en los tiempos del cólera,Gabriel García Márquez,"Márquez, Gabriel García",,"=""0307387267""","=""9780307387264""",4,3.94,Vintage Español,Paperback,461,2003,1985,2020/11/26,2020/11/17,,,read,,,,1,0
6568801,"El pozo de la ascensión (Nacidos de la bruma, #2)",Brandon Sanderson,"Sanderson, Brandon",Rafael Marín Trechera,"=""8466637834""","=""9788466637831""",5,4.38,EDB FICCION,Paperback,800,2009,2007,2021/11/08,2021/11/08,,,read,,,,1,0
232768,"El dragón rojo (Hannibal Lecter, #1)",Thomas  Harris,"Harris, Thomas",Elisa Lopez Bullrich,"=""0307344681""","=""9780307344687""",3,4.06,DEBOLS!LLO,Paperback,416,2005,1981,2021/07/29,2021/07/28,,,read,,,,1,0
34847511,Temporada de huracanes,Fernanda Melchor,"Melchor, Fernanda",,"=""6073152736""","=""9786073152730""",4,4.06,Penguin Random House Grupo Editorial,Paperback,224,2017,2017,2021/05/17,2020/12/01,,,read,,,,1,0
521410,El exorcista,William Peter Blatty,"Blatty, William Peter",,"=""8466617566""","=""9788466617567""",4,4.20,BOLSILLO BYBLOS,Paperback,416,2005,1971,2021/03/28,2021/03/27,,,read,,,,1,0
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",5,4.48,Tor Books,Hardcover,541,2006,2006,2021/03/25,2021/03/24,,,read,,,,1,0
